1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a,parte_a
pájuro,fínomi,plácati,frílavo,rábala,léfiti,láplaso,dáfricu,barañe,fitelle,plajoba,frimare,jabare,banfillo,caplade,cofricha
págena,fímani,pládoci,frícosa,tábalon,nófiter,séplacu,lófrisa,barasu,figeto,pladage,friremo,jobatra,bafide,moplare,dafrise
páconi,físaro,plátaco,frídagi,dóbabar,quéficu,sáplalo,séfrida,bajure,fideno,plamote,frivoda,labaca,safidu,roplate,chofrica
pádilo,fícoti,plácati,fríjusa,nóbaten,dáfite,céplasa,fúfriza,barollu,filloti,plarate,frirope,babados,solfidi,toplaco,mefride
páladi,fítuco,pládavi,frírame,tébatre,cáficu,súplaco,tífrila,badaja,fineto,pladota,fridaca,tobaca,quefita,soplatu,pefrimo
párrofa,fícami,plámodi,frítuca,nóbatin,tófivo,bíplasu,máfrijo,ballane,finido,plasore,frimare,pobata,dofizu,poplañe,lofrima
párrico,fíresa,plámece,fríseli,cóbata,náfino,lóplado,gáfrisol,bacorra,fitego,plazoma,frimapa,carbato,jofico,doplamo,tafrimo
pámora,fímasu,plájume,frízalo,dóbaper,téfita,báplara,cáfrici,batalle,finoge,plabife,fribono,grobada,bafino,noplade,rofrija
páraja,fímure,blácedi,frúbaro,tóbacar,cáficu,sóblalu,láfruce,bazalan,fitoria,bladoga,frubada,morbana,lofide,jublañe,dofruma
pánita,fíreta,blásaru,frúvule,lóbaro,gífine,cúblasi,cófrure,barrado,fiseto,blacofe,frunesio,robañe,hosfida,foblade,refrumo
pábolu,fílora,blároma,frúgadi,lébate,tófice,tíblali,céfrusa,barrade,fichotu,blaceda,frumiora,cobaso,dofisa,miblapa,mefruso
párosja,fírule,blázolo,frúsilo,súbatre,náfila,cíblata,júfruso,badura,fitochi,bladabo,frucami,nubana,nafica,leblace,fefruto
pásema,fírelu,blánoma,frúvulas,lóbara,téfita,súblale,sífruro,ballata,fitaco,blapoce,frutema,cambate,rofina,rablase,gofruma
páreta,fírulo,blácime,frúgalos,lúbaro,cáfisi,cúblare,géfrupa,bacela,figosa,blamoda,frupete,tebade,cafito,coblade,bofrume
pánagi,fíloren,blátuco,frúgadus,póbada,cófibri,líblaso,léfruda,bañorre,fiseto,blamota,frudima,dobaje,nasfica,mablate,mafruso
pásere,fíronu,blábuda,frúpoces,tóbane,ráfimo,ríblato,pífrudi,baterro,firina,blarope,frupina,pobaro,mafipe,noblato,cufruso
parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b,parte_b
bátesa,fúrilo,prácedu,flívale,bípate,sófuci,lúprado,céfliba,padorri,futella,praboca,flicomi,prepable,bolfuna,nepramo,meflire
básela,fúroli,prátocu,flítila,cópana,bífuca,cúprate,bíflisa,patado,futena,pramete,flivesa,romparo,nasfutu,dopracas,caflime
bámegue,fúmoni,prácuda,flígiba,súpani,fáfune,vóprale,píflido,papaco,fuposa,pragose,flidona,dopapro,dofule,moprata,mefliso
bároma,fúnami,prásico,flíboge,pópada,léfusi,cóprasa,lóflide,patora,furraza,prajamo,flibela,daparo,tarfunu,foprado,paflire
bálodi,fúsore,prácomo,flílavi,cópatos,cófuper,súprala,bófliso,paluda,fucato,prabuca,fligaru,mospabe,cofutu,doprale,naflica
básasa,fúneti,prácoli,flízole,épalo,párfuce,bópracan,féflira,panena,futome,prapiche,fliraso,solpate,nafusa,popraña,mufliso
bácirra,fúcati,prájole,flígibas,sápanis,táfuci,lápraso,cóflise,padote,furina,pranuja,flitopi,copanu,lefuja,paprafi,caflimo
bárejo,fúsore,prábaci,flírove,cópane,cásfuco,píprasa,jáflira,pasobo,fuzapa,prageno,flijoba,tarpano,tofusor,toprage,goflila
báconi,fúcoti,brácota,flúsuvi,árpato,nófule,múbrate,cáflute,padale,fucafo,braceco,flilapo,parpato,zofura,catrama,seflire
bátulo,fúlopi,brácimo,flútalo,lópana,lófuro,cábrami,pófluda,pamisa,fugarre,branoda,flumado,pospade,bofuna,tobrama,sufluro
bádila,fúrami,brásuca,flúpate,súpana,cáfura,tébraco,láflure,panade,fulodra,bratoda,flurida,mirpade,cafuno,sobrato,pofluta
básumo,fúsica,brálomu,flúsoca,fípano,véfure,tíbrafo,fúfluta,padira,fumone,bravona,flusace,bepalo,dosfuna,cibrano,chifluta
bátilu,fúcali,brápole,flúquemo,dúpaba,báfuse,súbralo,gáfluro,parrate,fulevo,brafode,flumara,dopabo,nafupi,pubraton,duflura
básola,fúbila,brálimen,flúrace,tápata,nífura,fébraco,cúflura,padopa,fudita,bratuna,flupica,rapama,rofube,mibrafo,tafluca
básore,fúcado,brásuque,flúzate,cópale,mófuca,túbrado,téflusa,pareta,fudomi,bracofo,flucera,tepare,pofumo,zabrato,poflusa
bámico,fúsifa,brájula,flútera,vápara,jófulo,lóbrazo,cáfludo,pazabe,fucona,brapoma,flupora,ropade,rofuma,jobralo,bofluda
