1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
régimen,héroe,brócoli,clínica,sótano,príncipe,háblame,público,basura,siguiente,bragueta,brillante,trabajo,bebida,poblado,publico
máquina,título,clásico,crítico,árboles,ácido,líbrate,bíblico,batalla,curioso,braguita,brigada,caballo,cabina,nublado,ombligo
década,mónica,clérigo,trípode,símbolo,círculo,nómbrame,fábrica,barato,cubierto,brebaje,bruselas,trabaja,tobillo,problema,sublime
décimo,gótica,cráneo,tríada,máscara,músculo,ábrame,híbrido,belleza,dinero,bromista,criterio,corbata,rabino,tablero,neblina
mérito,vídeo,trámites,frívolo,órdenes,médico,cóbrame,rúbrica,cerebro,difícil,brocheta,critica,cabaña,dibujo,nobleza,abrigo
género,líquido,crónico,trípoli,líderes,código,ábreme,cíclico,billete,divorcio,clavija,crimea,tabaco,burbuja,emblema,sobrino
póliza,víbora,drácula,brígida,lástima,pérdida,ábrele,hídrico,bonito,diseño,cloaca,cruzado,debate,cuchillo,abrazo,fabrica
sábana,títere,glóbulo,brújula,píldora,ánimo,cónclave,áfrica,botella,sujeto,cretino,crucero,cabeza,archivos,librado,recluta
hábito,nómina,gráfico,,hígado,crédito,núcleo,lágrima,carácter,diciembre,creencia,crujiente,cabello,hechizo,embrague,escriba
sábado,música,plátano,,órganos,técnica,cíclope,cómplice,cariño,silencio,croqueta,crujido,mercado,mochila,sombrero,descrito
nápoles,júbilo,prójimo,,pájaro,página,sócrates,réplica,camino,figura,drenaje,crudeza,chicago,salchicha,febrero,padrino
látigo,líbano,prótesis,,cámara,lógica,páncreas,súplica,carrera,futuro,flamenco,frijoles,pescado,mitigan,pobreza,ladrillo
método,músico,pródigo,,número,ángulo,síndrome,gástrico,gallina,pirata,flaqueza,fritura,rescate,encima,obreros,madrina
párrafo,túneles,prórroga,,crímenes,célula,náufrago,métrica,caliente,gigante,florida,glucosa,pecado,principio,libreta,rodrigo
lápida,júpiter,tráfico,,línea,límite,éufrates,nítrico,cadena,licencia,florista,grillete,escape,cocina,esclava,cuadrilla
médula,búfalo,trágico,,lámpara,pánico,sóplala,tétrica,camisa,piloto,florero,gruñido,fracaso,sencillo,reclamo,disfrute
